cluster_alias,number_of_cells,label
108,3801,CS202210140_602
109,53,CS202210140_603
110,485,CS202210140_604
111,61,CS202210140_605
112,621,CS202210140_606
113,982,CS202210140_607
114,558,CS202210140_608
115,1092,CS202210140_609
116,267,CS202210140_610
117,784,CS202210140_611
118,514,CS202210140_612
119,579,CS202210140_613
120,465,CS202210140_614
121,386,CS202210140_615
122,134,CS202210140_616
123,13606,CS202210140_617
124,1542,CS202210140_618
125,248,CS202210140_619
126,92,CS202210140_620
127,120,CS202210140_621
128,106,CS202210140_622
129,66,CS202210140_623
130,157,CS202210140_624
131,55,CS202210140_625
132,108,CS202210140_626
133,124,CS202210140_627
134,44,CS202210140_628
135,72,CS202210140_629
136,107,CS202210140_630
137,279,CS202210140_631
138,233,CS202210140_632
139,109,CS202210140_633
140,82,CS202210140_634
141,265,CS202210140_635
142,109,CS202210140_636
143,10,CS202210140_637
144,372,CS202210140_638
145,229,CS202210140_639
146,176,CS202210140_640
147,400,CS202210140_641
148,262,CS202210140_642
149,264,CS202210140_643
150,176,CS202210140_644
151,180,CS202210140_645
152,99,CS202210140_646
153,3510,CS202210140_647
154,3076,CS202210140_648
155,125,CS202210140_649
156,66,CS202210140_650
157,564,CS202210140_651
158,952,CS202210140_652
159,1004,CS202210140_653
160,500,CS202210140_654
161,32,CS202210140_655
162,38,CS202210140_656
163,79,CS202210140_657
164,798,CS202210140_658
165,830,CS202210140_659
166,4595,CS202210140_660
167,93,CS202210140_661
168,897,CS202210140_662
169,319,CS202210140_663
170,1033,CS202210140_664
171,1588,CS202210140_665
172,1074,CS202210140_666
173,1402,CS202210140_667
174,81,CS202210140_668
175,128,CS202210140_669
176,759,CS202210140_670
177,118,CS202210140_671
178,370,CS202210140_672
179,212,CS202210140_673
180,159,CS202210140_674
181,317,CS202210140_675
182,303,CS202210140_676
183,237,CS202210140_677
184,419,CS202210140_678
185,150,CS202210140_679
186,139,CS202210140_680
187,103,CS202210140_681
188,306,CS202210140_682
189,181,CS202210140_683
190,43,CS202210140_684
191,358,CS202210140_685
192,251,CS202210140_686
193,350,CS202210140_687
194,264,CS202210140_688
195,384,CS202210140_689
196,85,CS202210140_690
197,190,CS202210140_691
198,487,CS202210140_692
199,634,CS202210140_693
200,371,CS202210140_694
201,405,CS202210140_695
202,644,CS202210140_696
203,994,CS202210140_697
204,89,CS202210140_698
205,1121,CS202210140_699
206,1144,CS202210140_700
207,797,CS202210140_701
208,861,CS202210140_702
209,553,CS202210140_703
210,678,CS202210140_704
211,755,CS202210140_705
212,637,CS202210140_706
213,722,CS202210140_707
214,779,CS202210140_708
215,237,CS202210140_709
216,627,CS202210140_710
217,669,CS202210140_711
218,1104,CS202210140_712
219,425,CS202210140_713
220,931,CS202210140_714
221,675,CS202210140_715
222,841,CS202210140_716
223,1726,CS202210140_717
224,1791,CS202210140_718
225,1821,CS202210140_719
226,1403,CS202210140_720
227,1414,CS202210140_721
228,2278,CS202210140_722
229,1776,CS202210140_723
230,174,CS202210140_724
231,170,CS202210140_725
232,245,CS202210140_726
233,184,CS202210140_727
234,202,CS202210140_728
235,274,CS202210140_729
236,121,CS202210140_730
237,178,CS202210140_731
238,272,CS202210140_732
239,70,CS202210140_733
240,206,CS202210140_734
241,117,CS202210140_735
242,138,CS202210140_736
