cluster_alias,number_of_cells,label
1084,438,CS202210140_1578
1085,544,CS202210140_1579
1086,273,CS202210140_1580
1087,338,CS202210140_1581
1088,232,CS202210140_1582
1089,612,CS202210140_1583
1090,326,CS202210140_1584
1091,468,CS202210140_1585
1092,37,CS202210140_1586
1093,143,CS202210140_1587
1094,125,CS202210140_1588
1095,62,CS202210140_1589
1096,42,CS202210140_1590
1097,119,CS202210140_1591
1098,27,CS202210140_1592
1099,88,CS202210140_1593
1100,76,CS202210140_1594
1101,78,CS202210140_1595
1102,151,CS202210140_1596
1103,127,CS202210140_1597
1104,333,CS202210140_1598
1105,273,CS202210140_1599
1106,160,CS202210140_1600
1107,142,CS202210140_1601
1108,495,CS202210140_1602
1109,384,CS202210140_1603
1110,343,CS202210140_1604
1111,231,CS202210140_1605
1112,518,CS202210140_1606
1113,217,CS202210140_1607
1114,355,CS202210140_1608
1115,140,CS202210140_1609
1116,59,CS202210140_1610
1117,285,CS202210140_1611
1118,233,CS202210140_1612
1119,123,CS202210140_1613
1120,86,CS202210140_1614
1121,225,CS202210140_1615
1122,205,CS202210140_1616
1123,132,CS202210140_1617
1124,185,CS202210140_1618
1125,119,CS202210140_1619
1126,277,CS202210140_1620
1127,386,CS202210140_1621
1128,127,CS202210140_1622
1129,339,CS202210140_1623
1130,511,CS202210140_1624
1131,458,CS202210140_1625
1132,196,CS202210140_1626
1133,182,CS202210140_1627
1134,292,CS202210140_1628
1135,363,CS202210140_1629
1136,144,CS202210140_1630
1137,427,CS202210140_1631
1138,161,CS202210140_1632
1139,396,CS202210140_1633
1140,497,CS202210140_1634
1141,616,CS202210140_1635
1142,242,CS202210140_1636
1143,287,CS202210140_1637
1144,402,CS202210140_1638
1145,265,CS202210140_1639
1146,210,CS202210140_1640
1147,394,CS202210140_1641
1148,576,CS202210140_1642
1149,329,CS202210140_1643
1150,354,CS202210140_1644
1151,303,CS202210140_1645
1152,29,CS202210140_1646
1153,107,CS202210140_1647
1154,66,CS202210140_1648
1155,62,CS202210140_1649
1156,47,CS202210140_1650
1157,375,CS202210140_1651
1158,162,CS202210140_1652
1159,219,CS202210140_1653
1160,430,CS202210140_1654
1161,418,CS202210140_1655
1162,436,CS202210140_1656
1163,213,CS202210140_1657
1164,231,CS202210140_1658
1165,961,CS202210140_1659
1166,661,CS202210140_1660
1167,1171,CS202210140_1661
1168,726,CS202210140_1662
1169,88,CS202210140_1663
1170,113,CS202210140_1664
1171,57,CS202210140_1665
1172,42,CS202210140_1666
1173,95,CS202210140_1667
1174,101,CS202210140_1668
1175,102,CS202210140_1669
1176,281,CS202210140_1670
1177,156,CS202210140_1671
1178,279,CS202210140_1672
1179,175,CS202210140_1673
1180,45,CS202210140_1674
1181,275,CS202210140_1675
1182,313,CS202210140_1676
1183,247,CS202210140_1677
1184,155,CS202210140_1678
1185,63,CS202210140_1679
1186,122,CS202210140_1680
1187,330,CS202210140_1681
1188,176,CS202210140_1682
1189,495,CS202210140_1683
1190,259,CS202210140_1684
1191,401,CS202210140_1685
1192,230,CS202210140_1686
1193,462,CS202210140_1687
1194,644,CS202210140_1688
1195,718,CS202210140_1689
1196,590,CS202210140_1690
1197,586,CS202210140_1691
1198,738,CS202210140_1692
1199,850,CS202210140_1693
1200,191,CS202210140_1694
1201,400,CS202210140_1695
1202,3385,CS202210140_1696
1203,264,CS202210140_1697
1204,972,CS202210140_1698
1205,304,CS202210140_1699
1206,159,CS202210140_1700
1207,400,CS202210140_1701
1208,370,CS202210140_1702
1209,134,CS202210140_1703
1210,149,CS202210140_1704
1211,127,CS202210140_1705
1212,642,CS202210140_1706
1213,537,CS202210140_1707
1214,261,CS202210140_1708
1215,236,CS202210140_1709
1216,184,CS202210140_1710
1217,172,CS202210140_1711
1218,406,CS202210140_1712
1219,192,CS202210140_1713
1220,439,CS202210140_1714
1221,404,CS202210140_1715
1222,83,CS202210140_1716
1223,162,CS202210140_1717
1224,165,CS202210140_1718
1225,237,CS202210140_1719
1226,185,CS202210140_1720
1227,231,CS202210140_1721
1228,344,CS202210140_1722
1229,1224,CS202210140_1723
1230,216,CS202210140_1724
1231,194,CS202210140_1725
1232,2017,CS202210140_1726
1233,1501,CS202210140_1727
1234,537,CS202210140_1728
1235,438,CS202210140_1729
1236,167,CS202210140_1730
1237,93,CS202210140_1731
1238,228,CS202210140_1732
1239,498,CS202210140_1733
1240,473,CS202210140_1734
1241,235,CS202210140_1735
1242,539,CS202210140_1736
1243,584,CS202210140_1737
1244,699,CS202210140_1738
1245,669,CS202210140_1739
1246,913,CS202210140_1740
1247,1194,CS202210140_1741
1248,1140,CS202210140_1742
1249,3378,CS202210140_1743
1250,649,CS202210140_1744
1251,550,CS202210140_1745
1252,2262,CS202210140_1746
1253,719,CS202210140_1747
1254,220,CS202210140_1748
1255,317,CS202210140_1749
1256,712,CS202210140_1750
1257,278,CS202210140_1751
1258,1388,CS202210140_1752
1259,1258,CS202210140_1753
1260,418,CS202210140_1754
1261,729,CS202210140_1755
1262,272,CS202210140_1756
1263,92,CS202210140_1757
1264,331,CS202210140_1758
1265,501,CS202210140_1759
1266,509,CS202210140_1760
1267,529,CS202210140_1761
1268,164,CS202210140_1762
1269,278,CS202210140_1763
1270,290,CS202210140_1764
1271,434,CS202210140_1765
1272,99,CS202210140_1766
1273,91,CS202210140_1767
1274,175,CS202210140_1768
1275,184,CS202210140_1769
1276,86,CS202210140_1770
1277,188,CS202210140_1771
1278,103,CS202210140_1772
1279,158,CS202210140_1773
1280,218,CS202210140_1774
1281,214,CS202210140_1775
1282,433,CS202210140_1776
1283,196,CS202210140_1777
1284,101,CS202210140_1778
1285,120,CS202210140_1779
1286,29,CS202210140_1780
1287,316,CS202210140_1781
1288,173,CS202210140_1782
1289,191,CS202210140_1783
1290,97,CS202210140_1784
1291,30,CS202210140_1785
1292,92,CS202210140_1786
1293,46,CS202210140_1787
1294,184,CS202210140_1788
1295,42,CS202210140_1789
1296,35,CS202210140_1790
1297,90,CS202210140_1791
1298,287,CS202210140_1792
1299,169,CS202210140_1793
1300,225,CS202210140_1794
1301,173,CS202210140_1795
1302,94,CS202210140_1796
1303,65,CS202210140_1797
1304,223,CS202210140_1798
1305,340,CS202210140_1799
1306,221,CS202210140_1800
1307,185,CS202210140_1801
1308,139,CS202210140_1802
1309,171,CS202210140_1803
1310,276,CS202210140_1804
1311,286,CS202210140_1805
1312,134,CS202210140_1806
1313,133,CS202210140_1807
1314,114,CS202210140_1808
1315,222,CS202210140_1809
1316,223,CS202210140_1810
1317,208,CS202210140_1811
1318,208,CS202210140_1812
1319,306,CS202210140_1813
1320,422,CS202210140_1814
1321,196,CS202210140_1815
1322,363,CS202210140_1816
1323,276,CS202210140_1817
1324,467,CS202210140_1818
1325,72,CS202210140_1819
1326,184,CS202210140_1820
1327,268,CS202210140_1821
1328,284,CS202210140_1822
1329,312,CS202210140_1823
1330,120,CS202210140_1824
1331,250,CS202210140_1825
1332,222,CS202210140_1826
1333,417,CS202210140_1827
1334,93,CS202210140_1828
1335,87,CS202210140_1829
1336,83,CS202210140_1830
1337,77,CS202210140_1831
1338,123,CS202210140_1832
1339,111,CS202210140_1833
1340,53,CS202210140_1834
1341,92,CS202210140_1835
1342,230,CS202210140_1836
1343,324,CS202210140_1837
1344,295,CS202210140_1838
1345,436,CS202210140_1839
1346,180,CS202210140_1840
1347,312,CS202210140_1841
1348,508,CS202210140_1842
1349,50,CS202210140_1843
1350,279,CS202210140_1844
1351,226,CS202210140_1845
1352,279,CS202210140_1846
1353,137,CS202210140_1847
1354,476,CS202210140_1848
1355,250,CS202210140_1849
1356,258,CS202210140_1850
1357,212,CS202210140_1851
1358,261,CS202210140_1852
1359,220,CS202210140_1853
1360,381,CS202210140_1854
1361,154,CS202210140_1855
1362,88,CS202210140_1856
1363,260,CS202210140_1857
1364,409,CS202210140_1858
1365,188,CS202210140_1859
1366,92,CS202210140_1860
1367,264,CS202210140_1861
1368,98,CS202210140_1862
1369,158,CS202210140_1863
1370,108,CS202210140_1864
1371,211,CS202210140_1865
1372,94,CS202210140_1866
1373,113,CS202210140_1867
1374,193,CS202210140_1868
1375,60,CS202210140_1869
1376,119,CS202210140_1870
1377,79,CS202210140_1871
1378,86,CS202210140_1872
1379,52,CS202210140_1873
1380,146,CS202210140_1874
1381,76,CS202210140_1875
1382,108,CS202210140_1876
1383,184,CS202210140_1877
1384,158,CS202210140_1878
1385,212,CS202210140_1879
1386,280,CS202210140_1880
1387,216,CS202210140_1881
1388,209,CS202210140_1882
1389,208,CS202210140_1883
1390,134,CS202210140_1884
1391,132,CS202210140_1885
1392,154,CS202210140_1886
1393,361,CS202210140_1887
1394,198,CS202210140_1888
1395,158,CS202210140_1889
1396,98,CS202210140_1890
1397,77,CS202210140_1891
1398,89,CS202210140_1892
1399,66,CS202210140_1893
1400,119,CS202210140_1894
1401,125,CS202210140_1895
1402,59,CS202210140_1896
1403,79,CS202210140_1897
1404,501,CS202210140_1898
1405,260,CS202210140_1899
1406,266,CS202210140_1900
1407,91,CS202210140_1901
1408,85,CS202210140_1902
1409,57,CS202210140_1903
1410,164,CS202210140_1904
1411,131,CS202210140_1905
1412,206,CS202210140_1906
1413,183,CS202210140_1907
1414,216,CS202210140_1908
1415,186,CS202210140_1909
1416,151,CS202210140_1910
1417,131,CS202210140_1911
1418,426,CS202210140_1912
1419,606,CS202210140_1913
1420,681,CS202210140_1914
1421,531,CS202210140_1915
1422,362,CS202210140_1916
1423,263,CS202210140_1917
1424,434,CS202210140_1918
1425,437,CS202210140_1919
1426,301,CS202210140_1920
1427,566,CS202210140_1921
1428,351,CS202210140_1922
1429,793,CS202210140_1923
1430,130,CS202210140_1924
1431,286,CS202210140_1925
1432,277,CS202210140_1926
1433,206,CS202210140_1927
1434,41,CS202210140_1928
1435,85,CS202210140_1929
1436,145,CS202210140_1930
1437,20,CS202210140_1931
1438,138,CS202210140_1932
1439,107,CS202210140_1933
1440,764,CS202210140_1934
1441,141,CS202210140_1935
1442,200,CS202210140_1936
1443,121,CS202210140_1937
1444,74,CS202210140_1938
1445,30,CS202210140_1939
1446,52,CS202210140_1940
1447,56,CS202210140_1941
1448,143,CS202210140_1942
1449,83,CS202210140_1943
1450,142,CS202210140_1944
1451,104,CS202210140_1945
1452,117,CS202210140_1946
1453,188,CS202210140_1947
1454,65,CS202210140_1948
1455,345,CS202210140_1949
1456,88,CS202210140_1950
1457,40,CS202210140_1951
1458,127,CS202210140_1952
1459,135,CS202210140_1953
1460,150,CS202210140_1954
1461,117,CS202210140_1955
1462,128,CS202210140_1956
1463,51,CS202210140_1957
1464,128,CS202210140_1958
1465,190,CS202210140_1959
1466,98,CS202210140_1960
1467,63,CS202210140_1961
1468,109,CS202210140_1962
1469,124,CS202210140_1963
1470,153,CS202210140_1964
1471,75,CS202210140_1965
1472,159,CS202210140_1966
1473,133,CS202210140_1967
1474,62,CS202210140_1968
1475,241,CS202210140_1969
1476,257,CS202210140_1970
1477,213,CS202210140_1971
1478,962,CS202210140_1972
1479,437,CS202210140_1973
1480,733,CS202210140_1974
1481,572,CS202210140_1975
1482,357,CS202210140_1976
1483,157,CS202210140_1977
1484,239,CS202210140_1978
1485,307,CS202210140_1979
1486,337,CS202210140_1980
1487,144,CS202210140_1981
1488,134,CS202210140_1982
1489,199,CS202210140_1983
1490,109,CS202210140_1984
1491,394,CS202210140_1985
1492,163,CS202210140_1986
1493,211,CS202210140_1987
1494,103,CS202210140_1988
1495,317,CS202210140_1989
1496,110,CS202210140_1990
1497,144,CS202210140_1991
1498,272,CS202210140_1992
1499,301,CS202210140_1993
1500,372,CS202210140_1994
1501,1380,CS202210140_1995
1502,3690,CS202210140_1996
1503,1409,CS202210140_1997
1504,482,CS202210140_1998
1505,672,CS202210140_1999
1506,980,CS202210140_2000
1507,688,CS202210140_2001
1508,603,CS202210140_2002
1509,76,CS202210140_2003
1510,82,CS202210140_2004
1511,41,CS202210140_2005
1512,102,CS202210140_2006
1513,46,CS202210140_2007
1514,95,CS202210140_2008
1515,221,CS202210140_2009
1516,61,CS202210140_2010
1517,138,CS202210140_2011
1518,118,CS202210140_2012
1519,51,CS202210140_2013
1520,193,CS202210140_2014
1521,48,CS202210140_2015
1522,186,CS202210140_2016
1523,35,CS202210140_2017
1524,87,CS202210140_2018
1525,120,CS202210140_2019
1526,67,CS202210140_2020
1527,69,CS202210140_2021
1528,58,CS202210140_2022
1529,27,CS202210140_2023
1530,80,CS202210140_2024
1531,39,CS202210140_2025
1532,137,CS202210140_2026
1533,152,CS202210140_2027
1534,87,CS202210140_2028
1535,99,CS202210140_2029
1536,208,CS202210140_2030
1537,129,CS202210140_2031
1538,51,CS202210140_2032
1539,108,CS202210140_2033
1540,75,CS202210140_2034
1541,133,CS202210140_2035
1542,148,CS202210140_2036
1543,211,CS202210140_2037
1544,82,CS202210140_2038
1545,257,CS202210140_2039
1546,58,CS202210140_2040
1547,74,CS202210140_2041
1548,150,CS202210140_2042
1549,143,CS202210140_2043
1550,211,CS202210140_2044
1551,113,CS202210140_2045
1552,60,CS202210140_2046
1553,222,CS202210140_2047
1554,177,CS202210140_2048
1555,234,CS202210140_2049
1556,86,CS202210140_2050
1557,381,CS202210140_2051
1558,374,CS202210140_2052
1559,151,CS202210140_2053
1560,115,CS202210140_2054
1561,208,CS202210140_2055
1562,192,CS202210140_2056
1563,256,CS202210140_2057
1564,273,CS202210140_2058
1565,315,CS202210140_2059
1566,206,CS202210140_2060
1567,108,CS202210140_2061
1568,412,CS202210140_2062
1569,74,CS202210140_2063
1570,61,CS202210140_2064
1571,52,CS202210140_2065
1572,291,CS202210140_2066
1573,118,CS202210140_2067
1574,156,CS202210140_2068
1575,176,CS202210140_2069
1576,309,CS202210140_2070
1577,438,CS202210140_2071
1578,204,CS202210140_2072
1579,118,CS202210140_2073
1580,237,CS202210140_2074
1581,228,CS202210140_2075
1582,364,CS202210140_2076
1583,100,CS202210140_2077
1584,495,CS202210140_2078
1585,446,CS202210140_2079
1586,225,CS202210140_2080
1587,143,CS202210140_2081
1588,141,CS202210140_2082
1589,116,CS202210140_2083
1590,161,CS202210140_2084
1591,189,CS202210140_2085
1592,404,CS202210140_2086
1593,337,CS202210140_2087
1594,210,CS202210140_2088
1595,626,CS202210140_2089
1596,323,CS202210140_2090
1597,267,CS202210140_2091
1598,128,CS202210140_2092
1599,389,CS202210140_2093
1600,371,CS202210140_2094
1601,166,CS202210140_2095
1602,546,CS202210140_2096
1603,148,CS202210140_2097
1604,162,CS202210140_2098
1605,496,CS202210140_2099
1606,285,CS202210140_2100
1607,183,CS202210140_2101
1608,239,CS202210140_2102
1609,153,CS202210140_2103
1610,121,CS202210140_2104
1611,88,CS202210140_2105
1612,58,CS202210140_2106
1613,159,CS202210140_2107
1614,100,CS202210140_2108
1615,137,CS202210140_2109
1616,166,CS202210140_2110
1617,291,CS202210140_2111
1618,55,CS202210140_2112
1619,123,CS202210140_2113
1620,171,CS202210140_2114
1621,208,CS202210140_2115
1622,185,CS202210140_2116
1623,76,CS202210140_2117
1624,166,CS202210140_2118
1625,132,CS202210140_2119
1626,73,CS202210140_2120
1627,200,CS202210140_2121
1628,210,CS202210140_2122
1629,126,CS202210140_2123
1630,254,CS202210140_2124
1631,219,CS202210140_2125
1632,200,CS202210140_2126
1633,138,CS202210140_2127
1634,67,CS202210140_2128
1635,130,CS202210140_2129
1636,72,CS202210140_2130
1637,143,CS202210140_2131
1638,74,CS202210140_2132
1639,42,CS202210140_2133
1640,21,CS202210140_2134
1641,131,CS202210140_2135
1642,131,CS202210140_2136
1643,250,CS202210140_2137
1644,308,CS202210140_2138
1645,247,CS202210140_2139
1646,220,CS202210140_2140
1647,223,CS202210140_2141
1648,240,CS202210140_2142
1649,294,CS202210140_2143
1650,279,CS202210140_2144
1651,73,CS202210140_2145
1652,454,CS202210140_2146
1653,250,CS202210140_2147
1654,52,CS202210140_2148
1655,56,CS202210140_2149
1656,324,CS202210140_2150
1657,202,CS202210140_2151
1658,234,CS202210140_2152
1659,269,CS202210140_2153
1660,93,CS202210140_2154
1661,148,CS202210140_2155
1662,226,CS202210140_2156
1663,72,CS202210140_2157
1664,243,CS202210140_2158
1665,312,CS202210140_2159
1666,374,CS202210140_2160
1667,76,CS202210140_2161
1668,198,CS202210140_2162
1669,376,CS202210140_2163
1670,234,CS202210140_2164
1671,221,CS202210140_2165
1672,90,CS202210140_2166
1673,154,CS202210140_2167
1674,89,CS202210140_2168
1675,56,CS202210140_2169
1676,238,CS202210140_2170
1677,484,CS202210140_2171
1678,492,CS202210140_2172
1679,359,CS202210140_2173
1680,178,CS202210140_2174
1681,280,CS202210140_2175
1682,314,CS202210140_2176
1683,252,CS202210140_2177
1684,585,CS202210140_2178
1685,655,CS202210140_2179
1686,1549,CS202210140_2180
1687,173,CS202210140_2181
1688,210,CS202210140_2182
1689,49,CS202210140_2183
1690,123,CS202210140_2184
1691,334,CS202210140_2185
1692,182,CS202210140_2186
1693,267,CS202210140_2187
1694,129,CS202210140_2188
1695,245,CS202210140_2189
1696,75,CS202210140_2190
1697,311,CS202210140_2191
1698,216,CS202210140_2192
1699,198,CS202210140_2193
1700,111,CS202210140_2194
1701,171,CS202210140_2195
1702,95,CS202210140_2196
1703,119,CS202210140_2197
1704,205,CS202210140_2198
1705,210,CS202210140_2199
1706,143,CS202210140_2200
1707,215,CS202210140_2201
1708,288,CS202210140_2202
1709,138,CS202210140_2203
1710,131,CS202210140_2204
1711,247,CS202210140_2205
1712,146,CS202210140_2206
1713,233,CS202210140_2207
1714,435,CS202210140_2208
1715,91,CS202210140_2209
1716,44,CS202210140_2210
1717,79,CS202210140_2211
1718,284,CS202210140_2212
1719,191,CS202210140_2213
1720,143,CS202210140_2214
1721,44,CS202210140_2215
1722,35,CS202210140_2216
1723,274,CS202210140_2217
1724,160,CS202210140_2218
1725,102,CS202210140_2219
1726,127,CS202210140_2220
1727,111,CS202210140_2221
1728,169,CS202210140_2222
1729,148,CS202210140_2223
1730,221,CS202210140_2224
1731,98,CS202210140_2225
1732,103,CS202210140_2226
1733,126,CS202210140_2227
1734,275,CS202210140_2228
1735,109,CS202210140_2229
1736,118,CS202210140_2230
1737,63,CS202210140_2231
1738,120,CS202210140_2232
1739,177,CS202210140_2233
1740,295,CS202210140_2234
1741,218,CS202210140_2235
1742,100,CS202210140_2236
1743,486,CS202210140_2237
1744,174,CS202210140_2238
1745,250,CS202210140_2239
1746,224,CS202210140_2240
1747,147,CS202210140_2241
1748,224,CS202210140_2242
1749,152,CS202210140_2243
1750,151,CS202210140_2244
1751,123,CS202210140_2245
1752,145,CS202210140_2246
1753,292,CS202210140_2247
1754,249,CS202210140_2248
1755,207,CS202210140_2249
1756,179,CS202210140_2250
1757,78,CS202210140_2251
1758,85,CS202210140_2252
1759,151,CS202210140_2253
1760,179,CS202210140_2254
1761,256,CS202210140_2255
1762,299,CS202210140_2256
1763,265,CS202210140_2257
1764,308,CS202210140_2258
1765,144,CS202210140_2259
1766,177,CS202210140_2260
1767,246,CS202210140_2261
1768,112,CS202210140_2262
1769,184,CS202210140_2263
1770,166,CS202210140_2264
1771,269,CS202210140_2265
1772,241,CS202210140_2266
1773,102,CS202210140_2267
1774,317,CS202210140_2268
1775,165,CS202210140_2269
1776,296,CS202210140_2270
1777,66,CS202210140_2271
1778,246,CS202210140_2272
1779,255,CS202210140_2273
1780,191,CS202210140_2274
1781,83,CS202210140_2275
1782,51,CS202210140_2276
1783,103,CS202210140_2277
1784,126,CS202210140_2278
1785,136,CS202210140_2279
1786,204,CS202210140_2280
1787,428,CS202210140_2281
1788,219,CS202210140_2282
1789,284,CS202210140_2283
1790,468,CS202210140_2284
1791,407,CS202210140_2285
1792,431,CS202210140_2286
1793,274,CS202210140_2287
1794,718,CS202210140_2288
1795,539,CS202210140_2289
1796,542,CS202210140_2290
1797,451,CS202210140_2291
1798,290,CS202210140_2292
1799,135,CS202210140_2293
1800,371,CS202210140_2294
1801,136,CS202210140_2295
1802,296,CS202210140_2296
1803,137,CS202210140_2297
1804,122,CS202210140_2298
1805,554,CS202210140_2299
1806,386,CS202210140_2300
1807,496,CS202210140_2301
1808,484,CS202210140_2302
1809,542,CS202210140_2303
1810,965,CS202210140_2304
1811,284,CS202210140_2305
1812,741,CS202210140_2306
1813,466,CS202210140_2307
1814,952,CS202210140_2308
1815,546,CS202210140_2309
1816,596,CS202210140_2310
1817,352,CS202210140_2311
1818,504,CS202210140_2312
1819,49,CS202210140_2313
1820,397,CS202210140_2314
1821,377,CS202210140_2315
1822,388,CS202210140_2316
1823,217,CS202210140_2317
1824,496,CS202210140_2318
1825,28,CS202210140_2319
1826,464,CS202210140_2320
1827,143,CS202210140_2321
1828,127,CS202210140_2322
1829,118,CS202210140_2323
1830,80,CS202210140_2324
1831,158,CS202210140_2325
1832,245,CS202210140_2326
1833,264,CS202210140_2327
1834,218,CS202210140_2328
1835,437,CS202210140_2329
1836,323,CS202210140_2330
1837,496,CS202210140_2331
1838,224,CS202210140_2332
1839,289,CS202210140_2333
1840,65,CS202210140_2334
1841,185,CS202210140_2335
1842,376,CS202210140_2336
1843,173,CS202210140_2337
1844,252,CS202210140_2338
1845,241,CS202210140_2339
1846,242,CS202210140_2340
1847,554,CS202210140_2341
1848,1550,CS202210140_2342
1849,610,CS202210140_2343
1850,493,CS202210140_2344
1851,596,CS202210140_2345
1852,464,CS202210140_2346
1853,280,CS202210140_2347
1854,1264,CS202210140_2348
1855,1198,CS202210140_2349
1856,2007,CS202210140_2350
1857,454,CS202210140_2351
1858,37,CS202210140_2352
1859,234,CS202210140_2353
1860,347,CS202210140_2354
1861,285,CS202210140_2355
1862,380,CS202210140_2356
1863,84,CS202210140_2357
1864,178,CS202210140_2358
1865,17,CS202210140_2359
1866,230,CS202210140_2360
1867,629,CS202210140_2361
1868,38,CS202210140_2362
1869,253,CS202210140_2363
1870,107,CS202210140_2364
1871,107,CS202210140_2365
1872,87,CS202210140_2366
1873,88,CS202210140_2367
1874,130,CS202210140_2368
1875,114,CS202210140_2369
1876,112,CS202210140_2370
1877,98,CS202210140_2371
1878,178,CS202210140_2372
1879,161,CS202210140_2373
1880,112,CS202210140_2374
1881,94,CS202210140_2375
1882,53,CS202210140_2376
1883,54,CS202210140_2377
1884,74,CS202210140_2378
1885,133,CS202210140_2379
1886,93,CS202210140_2380
1887,98,CS202210140_2381
1888,50,CS202210140_2382
1889,202,CS202210140_2383
1890,80,CS202210140_2384
1891,145,CS202210140_2385
1892,322,CS202210140_2386
1893,125,CS202210140_2387
1894,129,CS202210140_2388
1895,64,CS202210140_2389
1896,103,CS202210140_2390
1897,89,CS202210140_2391
1898,253,CS202210140_2392
1899,129,CS202210140_2393
1900,312,CS202210140_2394
1901,224,CS202210140_2395
1902,349,CS202210140_2396
1903,286,CS202210140_2397
1904,237,CS202210140_2398
1905,316,CS202210140_2399
1906,31,CS202210140_2400
1907,169,CS202210140_2401
1908,89,CS202210140_2402
1909,106,CS202210140_2403
1910,128,CS202210140_2404
1911,106,CS202210140_2405
1912,78,CS202210140_2406
1913,56,CS202210140_2407
1914,174,CS202210140_2408
1915,98,CS202210140_2409
1916,104,CS202210140_2410
1917,182,CS202210140_2411
1918,351,CS202210140_2412
1919,527,CS202210140_2413
1920,131,CS202210140_2414
1921,385,CS202210140_2415
1922,92,CS202210140_2416
1923,341,CS202210140_2417
1924,383,CS202210140_2418
1925,210,CS202210140_2419
1926,673,CS202210140_2420
1927,239,CS202210140_2421
1928,341,CS202210140_2422
1929,139,CS202210140_2423
1930,131,CS202210140_2424
1931,235,CS202210140_2425
1932,485,CS202210140_2426
1933,177,CS202210140_2427
1934,151,CS202210140_2428
1935,209,CS202210140_2429
1936,199,CS202210140_2430
1937,164,CS202210140_2431
1938,517,CS202210140_2432
1939,533,CS202210140_2433
1940,377,CS202210140_2434
1941,532,CS202210140_2435
1942,506,CS202210140_2436
1943,468,CS202210140_2437
1944,232,CS202210140_2438
1945,624,CS202210140_2439
1946,101,CS202210140_2440
1947,182,CS202210140_2441
1948,734,CS202210140_2442
1949,830,CS202210140_2443
1950,572,CS202210140_2444
1951,504,CS202210140_2445
1952,252,CS202210140_2446
1953,147,CS202210140_2447
1954,379,CS202210140_2448
1955,665,CS202210140_2449
1956,551,CS202210140_2450
1957,234,CS202210140_2451
1958,691,CS202210140_2452
1959,139,CS202210140_2453
1960,326,CS202210140_2454
1961,46,CS202210140_2455
1962,285,CS202210140_2456
1963,265,CS202210140_2457
1964,190,CS202210140_2458
1965,177,CS202210140_2459
1966,197,CS202210140_2460
1967,150,CS202210140_2461
1968,211,CS202210140_2462
1969,280,CS202210140_2463
1970,304,CS202210140_2464
1971,74,CS202210140_2465
1972,27,CS202210140_2466
1973,353,CS202210140_2467
1974,353,CS202210140_2468
1975,521,CS202210140_2469
1976,479,CS202210140_2470
1977,521,CS202210140_2471
1978,339,CS202210140_2472
1979,622,CS202210140_2473
1980,291,CS202210140_2474
1981,654,CS202210140_2475
1982,213,CS202210140_2476
1983,791,CS202210140_2477
1984,446,CS202210140_2478
1985,308,CS202210140_2479
1986,452,CS202210140_2480
1987,753,CS202210140_2481
1988,348,CS202210140_2482
1989,304,CS202210140_2483
1990,512,CS202210140_2484
1991,191,CS202210140_2485
1992,290,CS202210140_2486
1993,292,CS202210140_2487
1994,302,CS202210140_2488
1995,300,CS202210140_2489
1996,311,CS202210140_2490
1997,316,CS202210140_2491
1998,195,CS202210140_2492
1999,244,CS202210140_2493
2000,344,CS202210140_2494
2001,451,CS202210140_2495
2002,510,CS202210140_2496
2003,252,CS202210140_2497
2004,467,CS202210140_2498
2005,1324,CS202210140_2499
2006,891,CS202210140_2500
2007,800,CS202210140_2501
2008,1032,CS202210140_2502
2009,678,CS202210140_2503
2010,735,CS202210140_2504
2011,133,CS202210140_2505
2012,47,CS202210140_2506
2013,57,CS202210140_2507
2014,165,CS202210140_2508
2015,90,CS202210140_2509
2016,881,CS202210140_2510
2017,280,CS202210140_2511
2018,1475,CS202210140_2512
2019,1041,CS202210140_2513
2020,1520,CS202210140_2514
2021,950,CS202210140_2515
2022,394,CS202210140_2516
2023,6453,CS202210140_2517
2024,1438,CS202210140_2518
2025,3307,CS202210140_2519
2026,2989,CS202210140_2520
2027,1324,CS202210140_2521
2028,2905,CS202210140_2522
2029,2964,CS202210140_2523
2030,1963,CS202210140_2524
2031,473,CS202210140_2525
2032,459,CS202210140_2526
2033,2538,CS202210140_2527
2034,1062,CS202210140_2528
2035,2642,CS202210140_2529
2036,834,CS202210140_2530
2037,2407,CS202210140_2531
2038,1260,CS202210140_2532
2039,2004,CS202210140_2533
2040,1785,CS202210140_2534
2041,749,CS202210140_2535
2042,581,CS202210140_2536
2043,1512,CS202210140_2537
2044,1743,CS202210140_2538
2045,2553,CS202210140_2539
2046,1939,CS202210140_2540
2047,1899,CS202210140_2541
2048,1775,CS202210140_2542
2049,605,CS202210140_2543
2050,606,CS202210140_2544
2051,617,CS202210140_2545
2052,127,CS202210140_2546
2053,759,CS202210140_2547
2054,392,CS202210140_2548
2055,459,CS202210140_2549
2056,580,CS202210140_2550
2057,647,CS202210140_2551
2058,329,CS202210140_2552
2059,863,CS202210140_2553
2060,316,CS202210140_2554
2061,1084,CS202210140_2555
2062,958,CS202210140_2556
2063,514,CS202210140_2557
2064,1346,CS202210140_2558
2065,676,CS202210140_2559
2066,151,CS202210140_2560
2067,1558,CS202210140_2561
2068,743,CS202210140_2562
2069,1067,CS202210140_2563
2070,857,CS202210140_2564
2071,1457,CS202210140_2565
2072,1458,CS202210140_2566
2073,12273,CS202210140_2567
2074,7149,CS202210140_2568
2075,1147,CS202210140_2569
2076,879,CS202210140_2570
2077,1525,CS202210140_2571
