Cluster ID	Cluster name	Transferred MTG Label
247	MGE_247	Sst
248	MGE_248	Sst
249	MGE_249	Sst
250	MGE_250	Sst
251	MGE_251	Sst
252	MGE_252	Sst
253	MGE_253	Sst
254	MGE_254	Sst
255	MGE_255	Pvalb
256	MGE_256	Pvalb
257	MGE_257	Pvalb
258	MGE_258	Pvalb
259	MGE_259	Pvalb
260	MGE_260	Pvalb
261	MGE_261	Pvalb
262	MGE_262	Pvalb
263	MGE_263	Pvalb
4	Mgl_4	Micro-PVM
5	Mgl_5	Micro-PVM
6	Mgl_6	Micro-PVM
7	Mgl_7	Micro-PVM
8	Mgl_8	Micro-PVM
9	Mgl_9	Micro-PVM
10	Mgl_10	Micro-PVM
11	Mgl_11	Micro-PVM
12	Mgl_12	Micro-PVM
433	Midi_433	N/A
434	Midi_434	N/A
435	Midi_435	N/A
436	Midi_436	N/A
437	Midi_437	N/A
438	Midi_438	N/A
439	Midi_439	N/A
440	Midi_440	N/A
441	Midi_441	N/A
442	Midi_442	N/A
443	Midi_443	N/A
444	Midi_444	N/A
0	Bcell_0	N/A
1	Tcell_1	N/A
2	Nkcell_2	N/A
3	Mono_3	N/A
113	L5ET_113	N/A
114	L5ET_114	N/A
116	Misc_116	N/A
117	L5ET_117	N/A
118	L5ET_118	N/A
132	Misc_132	N/A
164	Misc_164	N/A
165	Misc_165	N/A
166	Misc_166	N/A
167	Misc_167	N/A
168	Misc_168	N/A
170	Misc_170	N/A
176	Misc_176	N/A
177	Misc_177	N/A
178	Misc_178	N/A
314	Misc_314	N/A
401	Misc_401	N/A
404	Misc_404	N/A
40	Oligo_40	Oligo
44	Oligo_44	Oligo
45	Oligo_45	Oligo
46	Oligo_46	Oligo
47	Oligo_47	Oligo
48	Oligo_48	Oligo
49	Oligo_49	Oligo
50	Oligo_50	Oligo
32	OPC_32	OPC
33	OPC_33	OPC
34	OPC_34	OPC
35	OPC_35	OPC
36	OPC_36	OPC
235	Splat_235	N/A
237	Splat_237	N/A
238	Splat_238	N/A
313	Splat_313	N/A
334	Splat_334	N/A
335	Splat_335	N/A
336	Splat_336	N/A
337	Splat_337	N/A
338	Splat_338	N/A
339	Splat_339	N/A
340	Splat_340	N/A
341	Splat_341	N/A
342	Splat_342	N/A
343	Splat_343	N/A
344	Splat_344	N/A
345	Splat_345	N/A
346	Splat_346	N/A
347	Splat_347	N/A
348	Splat_348	N/A
349	Splat_349	N/A
350	Splat_350	N/A
351	Splat_351	N/A
352	Splat_352	N/A
353	Splat_353	N/A
354	Splat_354	N/A
355	Splat_355	N/A
356	Splat_356	N/A
357	Splat_357	N/A
358	Splat_358	N/A
359	Splat_359	N/A
360	Splat_360	N/A
361	Splat_361	N/A
362	Splat_362	N/A
363	Splat_363	N/A
364	Splat_364	N/A
365	Splat_365	N/A
366	Splat_366	N/A
367	Splat_367	N/A
368	Splat_368	N/A
369	Splat_369	N/A
370	Splat_370	N/A
371	Splat_371	N/A
373	Splat_373	N/A
374	Splat_374	N/A
375	Splat_375	N/A
376	Splat_376	N/A
377	Splat_377	N/A
378	Splat_378	N/A
379	Splat_379	N/A
380	Splat_380	N/A
381	Splat_381	N/A
382	Splat_382	N/A
383	Splat_383	N/A
384	Splat_384	N/A
385	Splat_385	N/A
386	Splat_386	N/A
387	Splat_387	N/A
388	Splat_388	N/A
389	Splat_389	N/A
390	Splat_390	N/A
391	Splat_391	N/A
392	Splat_392	N/A
393	Splat_393	N/A
394	Splat_394	N/A
395	Splat_395	N/A
396	Splat_396	N/A
397	Splat_397	N/A
398	Splat_398	N/A
399	Splat_399	N/A
400	Splat_400	N/A
402	Splat_402	N/A
403	Splat_403	N/A
409	Splat_409	N/A
410	Splat_410	N/A
411	Splat_411	N/A
412	Splat_412	N/A
413	Splat_413	N/A
414	Splat_414	N/A
415	Splat_415	N/A
416	Splat_416	N/A
417	Splat_417	N/A
418	Splat_418	N/A
420	Splat_420	N/A
421	Splat_421	N/A
422	Splat_422	N/A
423	Splat_423	N/A
424	Splat_424	N/A
425	Splat_425	N/A
428	Splat_428	N/A
429	Splat_429	N/A
431	Splat_431	N/A
432	Splat_432	N/A
372	Thex_372	N/A
445	Thex_445	N/A
446	Thex_446	N/A
447	Thex_447	N/A
448	Thex_448	N/A
449	Thex_449	N/A
450	Thex_450	N/A
451	Thex_451	N/A
452	Thex_452	N/A
453	Thex_453	N/A
454	Thex_454	N/A
455	Thex_455	N/A
456	Thex_456	N/A
457	Thex_457	N/A
458	Thex_458	N/A
459	Thex_459	N/A
460	Thex_460	N/A
297	URL_297	N/A
308	URL_308	N/A
309	URL_309	N/A
310	URL_310	N/A
311	URL_311	N/A
312	URL_312	N/A
120	ULIT_120	L2/3 IT
121	ULIT_121	L2/3 IT
122	ULIT_122	L2/3 IT
123	ULIT_123	L2/3 IT
124	ULIT_124	L2/3 IT
125	ULIT_125	L2/3 IT
126	ULIT_126	L2/3 IT
127	ULIT_127	L2/3 IT
128	ULIT_128	L2/3 IT
129	ULIT_129	L2/3 IT
